game_id,game_date
1022200039,2022-05-24
1022200044,2022-05-26
1022200048,2022-05-28
1022200054,2022-05-31
1022200058,2022-06-02
1022200061,2022-06-03
1022200068,2022-06-05
1022200071,2022-06-08
1022200089,2022-06-17
1022200094,2022-06-19
1022200101,2022-06-22
1022200124,2022-07-03
1022200130,2022-07-05
1022200142,2022-07-13
1022200150,2022-07-17
1022200154,2022-07-19
1022200161,2022-07-22
1022200168,2022-07-24
1022200170,2022-07-28
1022200182,2022-08-02
1022200189,2022-08-04
1022200202,2022-08-09
1022200206,2022-08-11
1022200211,2022-08-14
1022200015,2022-05-13
1022200021,2022-05-15
1022200025,2022-05-17
1022200030,2022-05-19
1022200035,2022-05-21
1022200055,2022-05-31
1022200062,2022-06-03
1022200066,2022-06-05
1022200075,2022-06-10
1022200080,2022-06-12
1022200085,2022-06-15
1022200090,2022-06-17
1022200095,2022-06-19
1022200102,2022-06-23
1022200107,2022-06-25
1022200115,2022-06-28
1022200120,2022-07-01
1022200137,2022-07-12
1022200144,2022-07-14
1022200166,2022-07-24
1022200171,2022-07-28
1022200190,2022-08-04
1022200193,2022-08-06
1022200199,2022-08-08
1022200203,2022-08-10
1022200210,2022-08-12
1022200216,2022-08-14
1022200001,2022-05-06
1022200007,2022-05-08
1022200011,2022-05-10
1022200017,2022-05-13
1022200045,2022-05-27
1022200052,2022-05-31
1022200057,2022-06-01
1022200074,2022-06-10
1022200082,2022-06-12
1022200087,2022-06-15
1022200112,2022-06-27
1022200117,2022-06-29
1022200122,2022-07-01
1022200129,2022-07-05
1022200147,2022-07-15
1022200153,2022-07-17
1022200156,2022-07-19
1022200160,2022-07-21
1022200173,2022-07-29
1022200179,2022-07-31
1022200207,2022-08-12
1022200213,2022-08-14
