player_id,name,name_last,name_i
202626,Jenna O'Hea,O'Hea,J. O'Hea
202629,Miranda Ayim,Ayim,M. Ayim
202632,Maya Moore,Moore,M. Moore
202633,Liz Cambage,Cambage,L. Cambage
202634,Danielle Adams,Adams,D. Adams
202637,Angie Bjorklund,Bjorklund,A. Bjorklund
202638,Jessica Breland,Breland,J. Breland
202639,Felicia Chester-Wootton,Chester-Wootton,F. Chester-Wootton
202640,Karima Christmas-Kelly,Christmas-Kelly,K. Christmas-Kelly
202641,Sydney Colson,Colson,S. Colson
202643,Victoria Dunlap,Dunlap,V. Dunlap
202644,Amber Harris,Harris,A. Harris
202645,Ify Ibekwe,Ibekwe,I. Ibekwe
202647,Rachel Jarry,Jarry,R. Jarry
202650,Jantel Lavender,Lavender,J. Lavender
202652,Alex Montgomery,Montgomery,A. Montgomery
202653,Kayla Pedersen,Pedersen,K. Pedersen
202654,Porsha Phillips,Phillips,P. Phillips
202655,Ta'Shia Phillips,Phillips,T. Phillips
202656,Jeanette Pohlen-Mavunga,Pohlen-Mavunga,J. Pohlen-Mavunga
202657,Angel Robinson,Robinson,A. Robinson
202658,Danielle Robinson,Robinson,D. Robinson
202662,Jasmine Thomas,Thomas,J. Thomas
202663,Krystal Thomas,Thomas,K. Thomas
202664,Courtney Vandersloot,Vandersloot,C. Vandersloot
202665,Chastity Reed,Reed,C. Reed
202670,Carolyn Swords,Swords,C. Swords
202680,Darxia Morris,Morris,D. Morris
202999,Dawn Evans,Evans,D. Evans
203001,Ziomara Morrison,Morrison,Z. Morrison
203013,Dymond Simon,Simon,D. Simon
203014,Nneka Ogwumike,Ogwumike,N. Ogwumike
203015,Shekinna Stricklen,Stricklen,S. Stricklen
203016,Devereaux Peters,Peters,D. Peters
203017,Glory Johnson,Johnson,G. Johnson
203018,Shenise Johnson,Johnson,S. Johnson
203019,Samantha Prahalis,Prahalis,S. Prahalis
203020,Kelley Cain,Cain,K. Cain
203021,Natalie Novosel,Novosel,N. Novosel
203024,Damiris Dantas,Dantas,D. Dantas
203025,Farhiya Abdi,Abdi,F. Abdi
203026,Tiffany Hayes,Hayes,T. Hayes
203029,Riquna Williams,Williams,R. Williams
203030,Julie Wojta,Wojta,J. Wojta
203033,Chay Shegog,Shegog,C. Shegog
203034,Keisha Hampton,Hampton,K. Hampton
203035,Shey Peddy,Peddy,S. Peddy
203037,Vicki Baugh,Baugh,V. Baugh
203039,Sydney Carter,Carter,S. Carter
203040,April Sykes,Sykes,A. Sykes
203041,Lynetta Kizer,Kizer,L. Kizer
203043,Jacki Gemelos,Gemelos,J. Gemelos
203046,Briana Butler,Butler,B. Butler
203047,Katelan Redmon,Redmon,K. Redmon
203067,Sasha Goodlett,Goodlett,S. Goodlett
203069,Avery Warley-Talbert,Warley-Talbert,A. Warley-Talbert
203070,Cierra Bravard,Bravard,C. Bravard
203389,Yvonne Turner,Turner,Y. Turner
203398,Brittney Griner,Griner,B. Griner
203399,Elena Delle Donne,Donne,E. Donne
203400,Skylar Diggins-Smith,Diggins-Smith,S. Diggins-Smith
203401,Tayler Hill,Hill,T. Hill
203402,Kelsey Bone,Bone,K. Bone
203403,Tianna Hawkins,Hawkins,T. Hawkins
203404,Toni Young,Young,T. Young
203405,Kayla Alexander,Alexander,K. Alexander
203406,Layshia Clarendon,Clarendon,L. Clarendon
203407,A'dia Mathies,Mathies,A. Mathies
203408,Kelly Faris,Faris,K. Faris
203409,Lindsey Moore,Moore,L. Moore
203410,Alex Bentley,Bentley,A. Bentley
203411,Sugar Rodgers,Rodgers,S. Rodgers
203412,Kamiko Williams,Williams,K. Williams
203413,Davellyn Whyte,Whyte,D. Whyte
203414,Nadirah McKenith,McKenith,N. McKenith
203415,Chelsea Poppens,Poppens,C. Poppens
203416,Emma Meesseman,Meesseman,E. Meesseman
203418,Jasmine Hassell,Hassell,J. Hassell
203421,Chucky Jeffery,Jeffery,C. Jeffery
203423,Nikki Greene,Greene,N. Greene
203426,Angel Goodrich,Goodrich,A. Goodrich
203427,Jasmine James,James,J. James
203428,Anne Marie Armstrong,Armstrong,A. Armstrong
203432,Waltiea Rolle,Rolle,W. Rolle
203437,Tierra Ruffin-Pratt,Ruffin-Pratt,T. Ruffin-Pratt
203451,Courtney Clements,Clements,C. Clements
203555,Joslyn Tinkle,Tinkle,J. Tinkle
203563,Chelsea Hopkins,Hopkins,C. Hopkins
203813,Anna Cruz,Cruz,A. Cruz
203814,Nadia Colhado,Colhado,N. Colhado
203820,Celine Dumerc,Dumerc,C. Dumerc
203822,Rebekah Gardner,Gardner,R. Gardner
203823,Chiney Ogwumike,Ogwumike,C. Ogwumike
203824,Odyssey Sims,Sims,O. Sims
203825,Kayla McBride,McBride,K. McBride
203826,Alyssa Thomas,Thomas,A. Thomas
203827,Natasha Howard,Howard,N. Howard
